Time data sigma
---- ---- -----
0 5.59508 0.617097
4.0172 4.02531 0.822796
8.9611 4.07405 0.822796
23.9521 -4.93632 1.13134
35.965 -3.12754 0.822796
40.9613 -1.19035 1.43989
257.193 -1.99252 1.23419
263.27 -3.68711 0.719946
291.109 2.72958 0.925645
318.101 0.420775 0.719946
333.02 -4.23412 1.13134
339.009 -2.23192 0.617097
347.022 1.05595 1.23419
364.993 1.7702 0.617097
611.359 1.88702 0.514247
646.153 0.285114 1.43989
670.133 1.94354 0.925645
683.118 -4.4235 0.514247
693.077 -5.01297 0.925645
698.043 -4.19219 1.54274
928.34 -6.33343 1.13134
952.367 2.84423 0.617097
983.279 -6.40472 0.925645
1039.03 -1.87611 0.925645
1093.97 3.96901 0.719946
1390.09 4.27878 1.13134
1739.13 4.68197 1.64559
1785.06 1.06814 0.822796
