Time data sigma
---- ---- -----
0 -6.05302 1.07071
102.731 -4.89368 1.39658
363.991 -4.25641 0.931056
1446.97 -4.34538 0.83795
1447.95 -2.62522 0.791397
1448.94 -2.22509 0.791397
1449.91 0.279939 0.83795
1455.96 8.10744 0.977609
1458.9 10.1558 1.39658
1471.83 8.11393 1.07071
1473.9 4.70224 0.83795
1475.86 -0.188201 1.16382
1477.85 -1.83075 1.07071
1478.95 -2.38936 0.791397
1504.82 -4.99805 0.931056
1505.91 -4.41777 0.977609
1510.89 2.71091 1.07071
1511.87 0.00488412 0.791397
1512.79 -0.643819 0.791397
1513.83 1.97011 0.83795
1527.87 10.9987 1.07071
1528.82 10.3289 0.83795
1535.71 1.91626 0.931056
1539.76 -4.64604 0.977609
1559.76 -7.66431 0.83795
1561.76 -7.71913 0.931056
1817.96 9.64865 0.931056
1818.99 9.14504 1.07071
1820.98 12.3934 0.977609
1821.97 13.4004 0.83795
1825.93 12.6681 0.977609
1826.93 11.6414 0.931056
1828.94 8.43978 1.11727
1842.89 -6.66419 1.16382
1843.9 -9.58793 1.16382
1850.82 -6.89003 1.11727
1851.83 -7.38864 1.02416
1852.86 -6.23616 0.791397
1853.91 -8.77782 1.25693
1855.88 -5.53036 0.977609
1856.83 -10.9339 1.11727
1857.83 -5.03296 1.16382
1863.86 -3.82128 0.744845
1866.93 -2.11967 1.02416
1886.96 11.8569 1.02416
1887.84 12.1754 1.11727
1895.85 5.34759 0.791397
1898.62 -1.10143 1.21037
1915.69 -7.74622 0.791397
1916.78 -8.10423 0.791397
1917.76 -8.25153 0.791397
1918.78 -5.89037 0.83795
1919.7 -9.88706 0.791397
1920.71 -7.59172 1.11727
1926.76 -3.15757 0.884503
1927.74 -4.02761 0.884503
1944.64 11.7383 1.16382
1947.64 12.1688 1.07071
1948.66 11.2107 0.791397
1956.68 -0.746895 1.25693
1958.7 -3.85296 0.791397
1987.69 -0.10897 1.44314
2001.66 11.5525 0.884503
2008.66 12.0516 1.35003
2009.68 8.58203 0.977609
2014.63 7.0469 1.02416
2018.63 -1.93725 0.884503
