Time data sigma
---- ---- -----
0 -1.42187 1.07071
102.731 -7.73171 1.39658
363.991 -0.836222 0.931056
1446.97 3.0885 0.83795
1447.95 1.55275 0.791397
1448.94 4.6806 0.791397
1449.91 2.60056 0.83795
1455.96 5.75526 0.977609
1458.9 6.93718 1.39658
1471.83 -1.76425 1.07071
1473.9 -3.35468 0.83795
1475.86 0.113812 1.16382
1477.85 -6.84122 1.07071
1478.95 -7.34212 0.791397
1504.82 0.200332 0.931056
1505.91 2.13554 0.977609
1510.89 4.60382 1.07071
1511.87 5.63846 0.791397
1512.79 4.07214 0.791397
1513.83 6.74532 0.83795
1527.87 3.2335 1.07071
1528.82 0.676841 0.83795
1535.71 -4.56059 0.931056
1539.76 -2.88199 0.977609
1559.76 -0.759141 0.83795
1561.76 -0.00234709 0.931056
1817.96 5.40786 0.931056
1818.99 3.45256 1.07071
1820.98 4.00228 0.977609
1821.97 3.51776 0.83795
1825.93 1.64958 0.977609
1826.93 2.72582 0.931056
1828.94 2.15518 1.11727
1842.89 -3.97102 1.16382
1843.9 -2.43602 1.16382
1850.82 -6.82274 1.11727
1851.83 -6.47339 1.02416
1852.86 -4.89942 0.791397
1853.91 -3.05432 1.25693
1855.88 -0.654265 0.977609
1856.83 -1.55852 1.11727
1857.83 -2.98451 1.16382
1863.86 3.29366 0.744845
1866.93 2.57175 1.02416
1886.96 3.6611 1.02416
1887.84 0.634487 1.11727
1895.85 -3.245 0.791397
1898.62 -6.39245 1.21037
1915.69 -1.88933 0.791397
1916.78 -1.86688 0.791397
1917.76 1.07356 0.791397
1918.78 -1.07742 0.83795
1919.7 0.410981 0.791397
1920.71 -0.0221674 1.11727
1926.76 4.70397 0.884503
1927.74 0.984884 0.884503
1944.64 6.88938 1.16382
1947.64 0.580157 1.07071
1948.66 1.31157 0.791397
1956.68 -3.9471 1.25693
1958.7 -4.5963 0.791397
1987.69 5.04532 1.44314
2001.66 5.24841 0.884503
2008.66 2.61099 1.35003
2009.68 1.46954 0.977609
2014.63 -3.15386 1.02416
2018.63 -4.75897 0.884503
