Time data sigma
---- ---- -----
0 -13.789 0.617097
4.0172 -10.8435 0.822796
8.9611 -4.36177 0.822796
23.9521 9.76942 1.13134
35.965 5.67909 0.822796
40.9613 1.57353 1.43989
257.193 9.9566 1.23419
263.27 9.77801 0.719946
291.109 -9.81405 0.925645
318.101 10.6055 0.719946
333.02 8.45328 1.13134
339.009 5.07747 0.617097
347.022 -5.46306 1.23419
364.993 -8.29991 0.617097
611.359 0.674309 0.514247
646.153 -2.72408 1.43989
670.133 -2.27297 0.925645
683.118 9.92418 0.514247
693.077 6.62856 0.925645
698.043 5.61117 1.54274
928.34 8.93103 1.13134
952.367 -8.96865 0.617097
983.279 10.0926 0.925645
1039.03 7.17505 0.925645
1093.97 4.46413 0.719946
1390.09 -1.85243 1.13134
1739.13 -11.021 1.64559
1785.06 -0.882747 0.822796
