Time data sigma
---- ---- -----
0 -10.7348 0.617097
4.0172 -6.3449 0.822796
8.9611 -1.87026 0.822796
23.9521 5.5103 1.13134
35.965 3.97161 0.822796
40.9613 2.14754 1.43989
257.193 4.6303 1.23419
263.27 5.86835 0.719946
291.109 -8.04926 0.925645
318.101 4.98414 0.719946
333.02 4.61225 1.13134
339.009 4.88438 0.617097
347.022 0.375252 1.23419
364.993 -4.98518 0.617097
611.359 -2.02716 0.514247
646.153 -0.495183 1.43989
670.133 -3.32486 0.925645
683.118 4.47203 0.514247
693.077 4.12555 0.925645
698.043 2.84766 1.54274
928.34 3.33496 1.13134
952.367 -5.29181 0.617097
983.279 4.91963 0.925645
1039.03 5.96032 0.925645
1093.97 1.03428 0.719946
1390.09 -1.42286 1.13134
1739.13 -9.85396 1.64559
1785.06 0.227575 0.822796
