Time data sigma
---- ---- -----
0 0.111308 0.617097
4.0172 -1.41672 0.822796
8.9611 -1.68489 0.822796
23.9521 -3.1805 1.13134
35.965 1.34022 0.822796
40.9613 0.412692 1.43989
257.193 -2.14164 1.23419
263.27 -0.951172 0.719946
291.109 1.36346 0.925645
318.101 -1.99732 0.719946
333.02 2.786 1.13134
339.009 -0.474977 0.617097
347.022 3.53878 1.23419
364.993 -0.968298 0.617097
611.359 -1.11671 0.514247
646.153 -1.35191 1.43989
670.133 -2.53928 0.925645
683.118 -0.361052 0.514247
693.077 1.3778 0.925645
698.043 1.06213 1.54274
928.34 1.98476 1.13134
952.367 0.805432 0.617097
983.279 -2.04603 0.925645
1039.03 -1.76906 0.925645
1093.97 -2.0221 0.719946
1390.09 -4.16588 1.13134
1739.13 2.08367 1.64559
1785.06 4.07566 0.822796
