Time data sigma
---- ---- -----
0 6.92791 1.07071
102.731 4.75846 1.39658
363.991 10.5515 0.931056
1446.97 7.14454 0.83795
1447.95 3.87708 0.791397
1448.94 2.54761 0.791397
1449.91 2.95408 0.83795
1455.96 -6.88181 0.977609
1458.9 -9.50764 1.39658
1471.83 -11.023 1.07071
1473.9 -9.48599 0.83795
1475.86 -2.9548 1.16382
1477.85 0.731801 1.07071
1478.95 1.59772 0.791397
1504.82 3.44185 0.931056
1505.91 3.508 0.977609
1510.89 -0.871173 1.07071
1511.87 -1.76925 0.791397
1512.79 -0.584077 0.791397
1513.83 -5.53874 0.83795
1527.87 -18.2086 1.07071
1528.82 -15.7194 0.83795
1535.71 -7.96151 0.931056
1539.76 2.01644 0.977609
1559.76 8.6429 0.83795
1561.76 6.80556 0.931056
1817.96 -10.8384 0.931056
1818.99 -10.2278 1.07071
1820.98 -11.1616 0.977609
1821.97 -10.795 0.83795
1825.93 -8.96183 0.977609
1826.93 -10.403 0.931056
1828.94 -12.7277 1.11727
1842.89 1.21111 1.16382
1843.9 1.43998 1.16382
1850.82 13.1397 1.11727
1851.83 14.9029 1.02416
1852.86 15.2839 0.791397
1853.91 15.6067 1.25693
1855.88 16.6325 0.977609
1856.83 17.6582 1.11727
1857.83 18.7058 1.16382
1863.86 6.58886 0.744845
1866.93 3.67978 1.02416
1886.96 -10.762 1.02416
1887.84 -9.78144 1.11727
1895.85 -4.27658 0.791397
1898.62 -1.89343 1.21037
1915.69 15.737 0.791397
1916.78 15.5781 0.791397
1917.76 13.7371 0.791397
1918.78 14.6779 0.83795
1919.7 15.3116 0.791397
1920.71 14.0937 1.11727
1926.76 3.99337 0.884503
1927.74 3.76221 0.884503
1944.64 -13.0786 1.16382
1947.64 -8.9251 1.07071
1948.66 -10.6283 0.791397
1956.68 -1.47354 1.25693
1958.7 -0.903342 0.791397
1987.69 4.31704 1.44314
2001.66 -15.0821 0.884503
2008.66 -9.76278 1.35003
2009.68 -7.90704 0.977609
2014.63 -2.58865 1.02416
2018.63 -0.226571 0.884503
