Time data sigma
---- ---- -----
0 0.0634598 0.617097
4.0172 4.54931 0.822796
8.9611 12.0729 0.822796
23.9521 2.23744 1.13134
35.965 -3.194 0.822796
40.9613 -7.72025 1.43989
257.193 8.33309 1.23419
263.27 5.49941 0.719946
291.109 -9.64718 0.925645
318.101 8.15424 0.719946
333.02 -0.390822 1.13134
339.009 -7.77254 0.617097
347.022 -14.216 1.23419
364.993 6.42678 0.617097
611.359 7.81143 0.514247
646.153 -12.5882 1.43989
670.133 6.17658 0.925645
683.118 10.3064 0.514247
693.077 -3.24099 0.925645
698.043 -12.7365 1.54274
928.34 0.205614 1.13134
952.367 -5.95888 0.617097
983.279 10.0884 0.925645
1039.03 13.3186 0.925645
1093.97 10.423 0.719946
1390.09 12.297 1.13134
1739.13 1.70589 1.64559
1785.06 -12.9479 0.822796
