Time data sigma
---- ---- -----
0 -2.39313 1.07071
102.731 -5.93111 1.39658
363.991 2.70753 0.931056
1446.97 3.59177 0.83795
1447.95 5.58028 0.791397
1448.94 5.08927 0.791397
1449.91 7.21677 0.83795
1455.96 11.6574 0.977609
1458.9 14.2186 1.39658
1471.83 -1.31243 1.07071
1473.9 -4.07065 0.83795
1475.86 -7.43437 1.16382
1477.85 -10.7028 1.07071
1478.95 -9.56745 0.791397
1504.82 0.0989922 0.931056
1505.91 1.68777 0.977609
1510.89 7.49973 1.07071
1511.87 10.8107 0.791397
1512.79 8.8274 0.791397
1513.83 9.41626 0.83795
1527.87 4.19634 1.07071
1528.82 3.86115 0.83795
1535.71 -7.13429 0.931056
1539.76 -11.8427 0.977609
1559.76 -2.26893 0.83795
1561.76 -0.811917 0.931056
1817.96 10.374 0.931056
1818.99 11.5597 1.07071
1820.98 10.7878 0.977609
1821.97 11.537 0.83795
1825.93 9.38557 0.977609
1826.93 5.54857 0.931056
1828.94 5.55013 1.11727
1842.89 -10.8934 1.16382
1843.9 -11.8608 1.16382
1850.82 -8.54172 1.11727
1851.83 -7.55161 1.02416
1852.86 -8.10146 0.791397
1853.91 -6.64784 1.25693
1855.88 -6.10365 0.977609
1856.83 -3.935 1.11727
1857.83 -3.49696 1.16382
1863.86 4.48178 0.744845
1866.93 5.40633 1.02416
1886.96 5.24958 1.02416
1887.84 5.76301 1.11727
1895.85 -4.09263 0.791397
1898.62 -6.79083 1.21037
1915.69 -5.20051 0.791397
1916.78 -2.34148 0.791397
1917.76 -2.12982 0.791397
1918.78 -0.345451 0.83795
1919.7 1.95293 0.791397
1920.71 2.11463 1.11727
1926.76 4.41063 0.884503
1927.74 8.56852 0.884503
1944.64 7.03023 1.16382
1947.64 8.49705 1.07071
1948.66 4.96231 0.791397
1956.68 -4.51236 1.25693
1958.7 -8.09155 0.791397
1987.69 5.37433 1.44314
2001.66 9.82605 0.884503
2008.66 3.86747 1.35003
2009.68 4.11852 0.977609
2014.63 0.456156 1.02416
2018.63 -5.46297 0.884503
