Time data sigma
---- ---- -----
0 -2.31422 0.617097
4.0172 -0.975539 0.822796
8.9611 -1.88181 0.822796
23.9521 -0.101757 1.13134
35.965 2.03124 0.822796
40.9613 2.93536 1.43989
257.193 -0.347851 1.23419
263.27 -0.715151 0.719946
291.109 -1.06581 0.925645
318.101 -3.5967 0.719946
333.02 0.739456 1.13134
339.009 2.65538 0.617097
347.022 -0.896201 1.23419
364.993 -0.173427 0.617097
611.359 -1.60361 0.514247
646.153 -0.0589024 1.43989
670.133 -1.80613 0.925645
683.118 3.50924 0.514247
693.077 2.44319 0.925645
698.043 1.69535 1.54274
928.34 0.321638 1.13134
952.367 -2.56395 0.617097
983.279 2.51123 0.925645
1039.03 -2.0229 0.925645
1093.97 -0.324997 0.719946
1390.09 -3.22215 1.13134
1739.13 -3.66923 1.64559
1785.06 -0.530405 0.822796
