Time data sigma
---- ---- -----
0 2.56396 0.617097
4.0172 2.49272 0.822796
8.9611 1.96457 0.822796
23.9521 -3.18032 1.13134
35.965 0.601455 0.822796
40.9613 -2.35818 1.43989
257.193 -2.57661 1.23419
263.27 -1.88539 0.719946
291.109 -0.712277 0.925645
318.101 0.0158807 0.719946
333.02 -0.0886035 1.13134
339.009 1.20382 0.617097
347.022 1.94443 1.23419
364.993 0.798094 0.617097
611.359 -1.04776 0.514247
646.153 1.88702 1.43989
670.133 -0.304666 0.925645
683.118 -1.19433 0.514247
693.077 -2.59214 0.925645
698.043 -1.47819 1.54274
928.34 0.221369 1.13134
952.367 1.34514 0.617097
983.279 -2.84387 0.925645
1039.03 0.148439 0.925645
1093.97 -0.20692 0.719946
1390.09 1.29206 1.13134
1739.13 0.454345 1.64559
1785.06 0.352444 0.822796
