Time data sigma
---- ---- -----
0 3.21511 1.07071
102.731 -6.9917 1.39658
363.991 4.61613 0.931056
1446.97 10.5252 0.83795
1447.95 8.52969 0.791397
1448.94 8.97856 0.791397
1449.91 11.2209 0.83795
1455.96 7.61535 0.977609
1458.9 4.85617 1.39658
1471.83 -4.37468 1.07071
1473.9 -5.02574 0.83795
1475.86 -7.22137 1.16382
1477.85 -3.84754 1.07071
1478.95 -5.53022 0.791397
1504.82 7.20584 0.931056
1505.91 6.7147 0.977609
1510.89 11.71 1.07071
1511.87 8.84927 0.791397
1512.79 8.79094 0.791397
1513.83 8.87742 0.83795
1527.87 -3.95318 1.07071
1528.82 -3.08835 0.83795
1535.71 -5.19493 0.931056
1539.76 -6.79258 0.977609
1559.76 2.94182 0.83795
1561.76 3.71961 0.931056
1817.96 3.84839 0.931056
1818.99 5.41782 1.07071
1820.98 2.4604 0.977609
1821.97 1.23574 0.83795
1825.93 -1.97489 0.977609
1826.93 -3.00271 0.931056
1828.94 -6.53769 1.11727
1842.89 -3.64925 1.16382
1843.9 -6.60091 1.16382
1850.82 -4.29194 1.11727
1851.83 -1.10233 1.02416
1852.86 -3.29998 0.791397
1853.91 -3.15521 1.25693
1855.88 -2.39623 0.977609
1856.83 -0.622124 1.11727
1857.83 -1.63035 1.16382
1863.86 5.91192 0.744845
1866.93 8.75397 1.02416
1886.96 -1.62211 1.02416
1887.84 -6.08164 1.11727
1895.85 -5.20703 0.791397
1898.62 -3.83571 1.21037
1915.69 -2.37734 0.791397
1916.78 -2.44908 0.791397
1917.76 -0.651116 0.791397
1918.78 0.892852 0.83795
1919.7 1.90537 0.791397
1920.71 4.08935 1.11727
1926.76 7.08822 0.884503
1927.74 6.56583 0.884503
1944.64 -2.27698 1.16382
1947.64 -5.15621 1.07071
1948.66 -4.80754 0.791397
1956.68 -7.62994 1.25693
1958.7 -5.24195 0.791397
1987.69 10.2266 1.44314
2001.66 1.23416 0.884503
2008.66 -6.44826 1.35003
2009.68 -3.12609 0.977609
2014.63 -6.49423 1.02416
2018.63 -4.87576 0.884503
