Time data sigma
---- ---- -----
0 -12.719 1.07071
102.731 1.17477 1.39658
363.991 -12.9457 0.931056
1446.97 -11.3128 0.83795
1447.95 -13.483 0.791397
1448.94 -12.951 0.791397
1449.91 -11.1592 0.83795
1455.96 -2.17776 0.977609
1458.9 1.30841 1.39658
1471.83 12.9638 1.07071
1473.9 10.1209 0.83795
1475.86 10.4207 1.16382
1477.85 7.7274 1.07071
1478.95 8.21968 0.791397
1504.82 -12.9121 0.931056
1505.91 -12.8263 0.977609
1510.89 -10.5846 1.07071
1511.87 -11.2864 0.791397
1512.79 -6.70885 0.791397
1513.83 -7.31139 0.83795
1527.87 9.49759 1.07071
1528.82 15.2503 0.83795
1535.71 8.387 0.931056
1539.76 5.09957 0.977609
1559.76 -10.6417 0.83795
1561.76 -13.036 0.931056
1817.96 1.88706 0.931056
1818.99 4.50142 1.07071
1820.98 7.93429 0.977609
1821.97 10.1132 0.83795
1825.93 13.536 0.977609
1826.93 16.9721 0.931056
1828.94 12.7604 1.11727
1842.89 4.99393 1.16382
1843.9 5.02217 1.16382
1850.82 -5.34701 1.11727
1851.83 -7.76854 1.02416
1852.86 -5.97787 0.791397
1853.91 -7.8425 1.25693
1855.88 -7.34587 0.977609
1856.83 -8.01022 1.11727
1857.83 -10.3204 1.16382
1863.86 -14.9711 0.744845
1866.93 -12.0623 1.02416
1886.96 16.3526 1.02416
1887.84 12.5814 1.11727
1895.85 9.0969 0.791397
1898.62 4.1667 1.21037
1915.69 -9.22536 0.791397
1916.78 -9.01157 0.791397
1917.76 -9.40631 0.791397
1918.78 -8.77793 0.83795
1919.7 -10.7063 0.791397
1920.71 -11.0914 1.11727
1926.76 -14.4185 0.884503
1927.74 -15.0845 0.884503
1944.64 15.2951 1.16382
1947.64 14.6554 1.07071
1948.66 16.1291 0.791397
1956.68 10.1752 1.25693
1958.7 4.24162 0.791397
1987.69 -12.8222 1.44314
2001.66 11.9216 0.884503
2008.66 15.5618 1.35003
2009.68 12.1633 0.977609
2014.63 12.3731 1.02416
2018.63 7.55753 0.884503
