Time data sigma
---- ---- -----
0 -0.977756 1.07071
102.731 3.31281 1.39658
363.991 0.700288 0.931056
1446.97 -0.2538 0.83795
1447.95 0.295472 0.791397
1448.94 -0.560846 0.791397
1449.91 -1.00468 0.83795
1455.96 -1.01221 0.977609
1458.9 -4.22609 1.39658
1471.83 -2.45407 1.07071
1473.9 -1.75528 0.83795
1475.86 1.16309 1.16382
1477.85 2.90551 1.07071
1478.95 6.19835 0.791397
1504.82 -2.05199 0.931056
1505.91 -1.24629 0.977609
1510.89 -2.28674 1.07071
1511.87 -0.663839 0.791397
1512.79 -1.28651 0.791397
1513.83 -0.447206 0.83795
1527.87 -7.06133 1.07071
1528.82 -4.15078 0.83795
1535.71 -1.22615 0.931056
1539.76 3.26647 0.977609
1559.76 0.323967 0.83795
1561.76 -2.52812 0.931056
1817.96 -3.96699 0.931056
1818.99 -3.6203 1.07071
1820.98 -6.26685 0.977609
1821.97 -5.19814 0.83795
1825.93 -7.2078 0.977609
1826.93 -3.25379 0.931056
1828.94 -3.24263 1.11727
1842.89 6.2115 1.16382
1843.9 5.99131 1.16382
1850.82 3.57361 1.11727
1851.83 3.70337 1.02416
1852.86 2.64025 0.791397
1853.91 4.61106 1.25693
1855.88 0.735416 0.977609
1856.83 -2.4761 1.11727
1857.83 0.755225 1.16382
1863.86 -5.22025 0.744845
1866.93 -1.27333 1.02416
1886.96 -4.64249 1.02416
1887.84 -4.28128 1.11727
1895.85 -0.735074 0.791397
1898.62 3.92484 1.21037
1915.69 0.449132 0.791397
1916.78 0.934094 0.791397
1917.76 -1.17227 0.791397
1918.78 0.576211 0.83795
1919.7 -2.07136 0.791397
1920.71 -4.14613 1.11727
1926.76 -2.5216 0.884503
1927.74 -2.76557 0.884503
1944.64 -3.78789 1.16382
1947.64 -5.58491 1.07071
1948.66 -3.80913 0.791397
1956.68 1.17833 1.25693
1958.7 3.31825 0.791397
1987.69 -2.00929 1.44314
2001.66 -3.88141 0.884503
2008.66 -3.74615 1.35003
2009.68 -4.40171 0.977609
2014.63 -0.0544481 1.02416
2018.63 3.80772 0.884503
