Time data sigma
---- ---- -----
0 -7.77468 1.07071
102.731 12.8397 1.39658
363.991 -11.7607 0.931056
1446.97 -16.6557 0.83795
1447.95 -17.3689 0.791397
1448.94 -15.5344 0.791397
1449.91 -15.9934 0.83795
1455.96 -9.95595 0.977609
1458.9 -6.3394 1.39658
1471.83 3.51948 1.07071
1473.9 5.91915 0.83795
1475.86 7.13721 1.16382
1477.85 10.572 1.07071
1478.95 11.9528 0.791397
1504.82 -15.3135 0.931056
1505.91 -14.5604 0.977609
1510.89 -15.4449 1.07071
1511.87 -13.8705 0.791397
1512.79 -12.5796 0.791397
1513.83 -12.2667 0.83795
1527.87 0.566068 1.07071
1528.82 0.514102 0.83795
1535.71 6.10213 0.931056
1539.76 10.0997 0.977609
1559.76 -4.18333 0.83795
1561.76 -8.78637 0.931056
1817.96 -6.84685 0.931056
1818.99 -6.58797 1.07071
1820.98 -7.14875 0.977609
1821.97 -4.36314 0.83795
1825.93 -2.51929 0.977609
1826.93 -0.27782 0.931056
1828.94 0.856436 1.11727
1842.89 13.2224 1.16382
1843.9 13.9948 1.16382
1850.82 13.8575 1.11727
1851.83 13.9122 1.02416
1852.86 10.1837 0.791397
1853.91 10.5744 1.25693
1855.88 2.59671 0.977609
1856.83 0.968089 1.11727
1857.83 -1.05126 1.16382
1863.86 -13.5247 0.744845
1866.93 -14.1644 1.02416
1886.96 0.028978 1.02416
1887.84 -2.33664 1.11727
1895.85 5.73653 0.791397
1898.62 10.693 1.21037
1915.69 3.2668 0.791397
1916.78 1.2523 0.791397
1917.76 -1.45621 0.791397
1918.78 -3.27828 0.83795
1919.7 -4.85514 0.791397
1920.71 -8.23002 1.11727
1926.76 -15.9466 0.884503
1927.74 -13.9127 0.884503
1944.64 -4.31653 1.16382
1947.64 0.15508 1.07071
1948.66 1.7505 0.791397
1956.68 9.30082 1.25693
1958.7 10.149 0.791397
1987.69 -12.6647 1.44314
2001.66 -6.89373 0.884503
2008.66 1.43341 1.35003
2009.68 2.29769 0.977609
2014.63 5.68552 1.02416
2018.63 11.3715 0.884503
