Time data sigma
---- ---- -----
0 -7.09746 0.617097
4.0172 -1.83681 0.822796
8.9611 -5.44102 0.822796
23.9521 3.34714 1.13134
35.965 5.84571 0.822796
40.9613 -1.02489 1.43989
257.193 -1.08036 1.23419
263.27 5.23844 0.719946
291.109 -3.34667 0.925645
318.101 0.796222 0.719946
333.02 6.92847 1.13134
339.009 3.90531 0.617097
347.022 1.38648 1.23419
364.993 -5.36014 0.617097
611.359 -1.53758 0.514247
646.153 -0.57492 1.43989
670.133 -1.05461 0.925645
683.118 0.659679 0.514247
693.077 8.23697 0.925645
698.043 5.0937 1.54274
928.34 2.8057 1.13134
952.367 -0.606496 0.617097
983.279 3.11876 0.925645
1039.03 0.688193 0.925645
1093.97 -1.20658 0.719946
1390.09 -6.65922 1.13134
1739.13 -4.56836 1.64559
1785.06 -1.55131 0.822796
