Time data sigma
---- ---- -----
0 -15.9316 1.07071
102.731 11.3152 1.39658
363.991 -13.6134 0.931056
1446.97 -9.23275 0.83795
1447.95 -7.75309 0.791397
1448.94 -7.51002 0.791397
1449.91 -6.16955 0.83795
1455.96 -3.06485 0.977609
1458.9 0.799691 1.39658
1471.83 15.6077 1.07071
1473.9 14.6636 0.83795
1475.86 18.41 1.16382
1477.85 16.8445 1.07071
1478.95 14.7976 0.791397
1504.82 -9.93488 0.931056
1505.91 -9.61014 0.977609
1510.89 -5.22139 1.07071
1511.87 -5.95053 0.791397
1512.79 -5.04863 0.791397
1513.83 -4.08356 0.83795
1527.87 7.36138 1.07071
1528.82 11.8123 0.83795
1535.71 13.3902 0.931056
1539.76 15.4279 0.977609
1559.76 -12.6028 0.83795
1561.76 -16.5694 0.931056
1817.96 0.565492 0.931056
1818.99 1.12713 1.07071
1820.98 1.024 0.977609
1821.97 3.81632 0.83795
1825.93 8.97253 0.977609
1826.93 8.68991 0.931056
1828.94 14.8211 1.11727
1842.89 8.8729 1.16382
1843.9 7.07313 1.16382
1850.82 -7.12853 1.11727
1851.83 -10.2373 1.02416
1852.86 -10.7278 0.791397
1853.91 -11.7974 1.25693
1855.88 -12.4253 0.977609
1856.83 -12.9781 1.11727
1857.83 -14.5233 1.16382
1863.86 -12.7758 0.744845
1866.93 -6.42248 1.02416
1886.96 8.91036 1.02416
1887.84 13.3506 1.11727
1895.85 16.4835 0.791397
1898.62 14.075 1.21037
1915.69 -12.4256 0.791397
1916.78 -15.5219 0.791397
1917.76 -13.1872 0.791397
1918.78 -16.1518 0.83795
1919.7 -14.0959 0.791397
1920.71 -14.1712 1.11727
1926.76 -9.71726 0.884503
1927.74 -10.3484 0.884503
1944.64 6.09091 1.16382
1947.64 10.0783 1.07071
1948.66 13.8132 0.791397
1956.68 17.8142 1.25693
1958.7 14.0214 0.791397
1987.69 -7.32195 1.44314
2001.66 5.25549 0.884503
2008.66 13.0857 1.35003
2009.68 14.0024 0.977609
2014.63 14.5089 1.02416
2018.63 12.6807 0.884503
