Time data sigma
---- ---- -----
0 5.97433 0.617097
4.0172 2.90948 0.822796
8.9611 0.0335247 0.822796
23.9521 -12.8211 1.13134
35.965 4.65106 0.822796
40.9613 9.10378 1.43989
257.193 -9.05752 1.23419
263.27 -11.8952 0.719946
291.109 11.522 0.925645
318.101 -6.78613 0.719946
333.02 -6.85828 1.13134
339.009 4.49662 0.617097
347.022 13.0786 1.23419
364.993 -0.571038 0.617097
611.359 -7.34148 0.514247
646.153 9.82265 1.43989
670.133 -6.7448 0.925645
683.118 -6.41652 0.514247
693.077 -2.59279 0.925645
698.043 0.418654 1.54274
928.34 -4.16315 1.13134
952.367 8.365 0.617097
983.279 -8.61327 0.925645
1039.03 -12.2842 0.925645
1093.97 -8.89792 0.719946
1390.09 -2.60891 1.13134
1739.13 6.05065 1.64559
1785.06 8.90349 0.822796
