Time data sigma
---- ---- -----
0 -3.85365 0.617097
4.0172 -6.19329 0.822796
8.9611 -6.97119 0.822796
23.9521 -2.99677 1.13134
35.965 12.2639 0.822796
40.9613 11.0676 1.43989
257.193 -5.8577 1.23419
263.27 -3.69243 0.719946
291.109 3.60092 0.925645
318.101 -7.21111 0.719946
333.02 11.909 1.13134
339.009 8.53049 0.617097
347.022 5.08986 1.23419
364.993 -8.06145 0.617097
611.359 -8.71541 0.514247
646.153 6.54673 1.43989
670.133 -7.27808 0.925645
683.118 -0.765822 0.514247
693.077 8.54685 0.925645
698.043 6.76818 1.54274
928.34 4.51181 1.13134
952.367 0.564106 0.617097
983.279 -1.93819 0.925645
1039.03 -7.77197 0.925645
1093.97 -9.37397 0.719946
1390.09 -8.52551 1.13134
1739.13 -8.08786 1.64559
1785.06 5.58519 0.822796
