Time data sigma
---- ---- -----
0 -1.42143 0.617097
4.0172 -4.33816 0.822796
8.9611 -2.71312 0.822796
23.9521 2.36322 1.13134
35.965 3.39441 0.822796
40.9613 0.552289 1.43989
257.193 -0.753315 1.23419
263.27 2.03686 0.719946
291.109 1.87507 0.925645
318.101 1.94057 0.719946
333.02 3.84734 1.13134
339.009 5.80903 0.617097
347.022 3.75341 1.23419
364.993 -3.99268 0.617097
611.359 -2.08495 0.514247
646.153 2.61971 1.43989
670.133 -4.39368 0.925645
683.118 2.43946 0.514247
693.077 3.57724 0.925645
698.043 4.76228 1.54274
928.34 4.92882 1.13134
952.367 0.0920278 0.617097
983.279 1.70466 0.925645
1039.03 0.384203 0.925645
1093.97 -1.38051 0.719946
1390.09 -3.36216 1.13134
1739.13 -1.92968 1.64559
1785.06 0.982615 0.822796
