Time data sigma
---- ---- -----
0 -7.54653 1.07071
102.731 5.74759 1.39658
363.991 -11.334 0.931056
1446.97 -10.9662 0.83795
1447.95 -10.373 0.791397
1448.94 -9.14245 0.791397
1449.91 -8.42827 0.83795
1455.96 -0.0810801 0.977609
1458.9 1.98165 1.39658
1471.83 5.72507 1.07071
1473.9 7.18341 0.83795
1475.86 6.54818 1.16382
1477.85 3.87722 1.07071
1478.95 6.12933 0.791397
1504.82 -8.65669 0.931056
1505.91 -10.6886 0.977609
1510.89 -7.75766 1.07071
1511.87 -4.13841 0.791397
1512.79 -6.41397 0.791397
1513.83 -3.7821 0.83795
1527.87 6.38696 1.07071
1528.82 5.66474 0.83795
1535.71 6.66543 0.931056
1539.76 6.62839 0.977609
1559.76 -8.83764 0.83795
1561.76 -9.77571 0.931056
1817.96 2.44452 0.931056
1818.99 2.02095 1.07071
1820.98 1.63529 0.977609
1821.97 5.10759 0.83795
1825.93 9.96476 0.977609
1826.93 4.90576 0.931056
1828.94 7.68239 1.11727
1842.89 4.67071 1.16382
1843.9 4.85753 1.16382
1850.82 0.389655 1.11727
1851.83 -1.11479 1.02416
1852.86 -0.299267 0.791397
1853.91 -4.3336 1.25693
1855.88 -5.28069 0.977609
1856.83 -5.87587 1.11727
1857.83 -9.11483 1.16382
1863.86 -9.52284 0.744845
1866.93 -10.1217 1.02416
1886.96 6.67889 1.02416
1887.84 6.76605 1.11727
1895.85 7.03373 0.791397
1898.62 5.71818 1.21037
1915.69 -7.02765 0.791397
1916.78 -4.65167 0.791397
1917.76 -5.62721 0.791397
1918.78 -5.87859 0.83795
1919.7 -8.39819 0.791397
1920.71 -9.27129 1.11727
1926.76 -11.026 0.884503
1927.74 -10.8302 0.884503
1944.64 6.30382 1.16382
1947.64 9.40142 1.07071
1948.66 6.40808 0.791397
1956.68 7.08962 1.25693
1958.7 8.37455 0.791397
1987.69 -8.02098 1.44314
2001.66 5.89373 0.884503
2008.66 6.48921 1.35003
2009.68 7.83591 0.977609
2014.63 6.647 1.02416
2018.63 6.62758 0.884503
