Time data sigma
---- ---- -----
0 3.22352 1.07071
102.731 -3.67801 1.39658
363.991 4.60888 0.931056
1446.97 2.40311 0.83795
1447.95 4.03113 0.791397
1448.94 2.70658 0.791397
1449.91 3.81553 0.83795
1455.96 2.32338 0.977609
1458.9 0.965764 1.39658
1471.83 -3.33102 1.07071
1473.9 -5.93672 0.83795
1475.86 -3.05386 1.16382
1477.85 -6.51045 1.07071
1478.95 -5.94251 0.791397
1504.82 3.53553 0.931056
1505.91 3.88587 0.977609
1510.89 -0.151148 1.07071
1511.87 0.521625 0.791397
1512.79 -0.0366964 0.791397
1513.83 -0.58746 0.83795
1527.87 1.03392 1.07071
1528.82 0.828342 0.83795
1535.71 -2.29887 0.931056
1539.76 -5.25703 0.977609
1559.76 5.01996 0.83795
1561.76 3.17057 0.931056
1817.96 1.96939 0.931056
1818.99 2.68404 1.07071
1820.98 2.71569 0.977609
1821.97 2.36621 0.83795
1825.93 1.56944 0.977609
1826.93 -1.41996 0.931056
1828.94 -1.40152 1.11727
1842.89 -5.44407 1.16382
1843.9 -4.03004 1.16382
1850.82 -0.821693 1.11727
1851.83 -0.186953 1.02416
1852.86 1.03856 0.791397
1853.91 1.44217 1.25693
1855.88 1.16291 0.977609
1856.83 2.45063 1.11727
1857.83 4.70092 1.16382
1863.86 2.31713 0.744845
1866.93 4.18592 1.02416
1886.96 -2.5509 1.02416
1887.84 1.81658 1.11727
1895.85 -4.4883 0.791397
1898.62 -1.61325 1.21037
1915.69 -0.0697618 0.791397
1916.78 1.75387 0.791397
1917.76 0.216985 0.791397
1918.78 2.34184 0.83795
1919.7 4.19992 0.791397
1920.71 2.79857 1.11727
1926.76 7.27477 0.884503
1927.74 5.04575 0.884503
1944.64 0.146962 1.16382
1947.64 -2.24623 1.07071
1948.66 -4.78639 0.791397
1956.68 -4.48956 1.25693
1958.7 -5.20871 0.791397
1987.69 3.60472 1.44314
2001.66 -0.437655 0.884503
2008.66 -1.25971 1.35003
2009.68 -2.44332 0.977609
2014.63 -5.77011 1.02416
2018.63 -2.74186 0.884503
