Time data sigma
---- ---- -----
0 2.1154 1.07071
102.731 -9.04615 1.39658
363.991 1.15379 0.931056
1446.97 8.37 0.83795
1447.95 6.88912 0.791397
1448.94 7.30823 0.791397
1449.91 12.1051 0.83795
1455.96 7.31862 0.977609
1458.9 9.17449 1.39658
1471.83 5.42952 1.07071
1473.9 3.56242 0.83795
1475.86 -0.431529 1.16382
1477.85 -1.68026 1.07071
1478.95 -1.99561 0.791397
1504.82 2.9068 0.931056
1505.91 4.72863 0.977609
1510.89 6.58094 1.07071
1511.87 4.65341 0.791397
1512.79 6.514 0.791397
1513.83 7.55979 0.83795
1527.87 7.08058 1.07071
1528.82 6.95167 0.83795
1535.71 -0.104482 0.931056
1539.76 -8.90036 0.977609
1559.76 1.74999 0.83795
1561.76 -0.0692503 0.931056
1817.96 10.2657 0.931056
1818.99 8.72729 1.07071
1820.98 6.64395 0.977609
1821.97 6.78446 0.83795
1825.93 5.27921 0.977609
1826.93 5.95989 0.931056
1828.94 3.76477 1.11727
1842.89 -4.63849 1.16382
1843.9 -5.94666 1.16382
1850.82 -14.3488 1.11727
1851.83 -14.5368 1.02416
1852.86 -11.2251 0.791397
1853.91 -11.8773 1.25693
1855.88 -10.2481 0.977609
1856.83 -9.11072 1.11727
1857.83 -6.48955 1.16382
1863.86 3.76763 0.744845
1866.93 7.04112 1.02416
1886.96 5.13905 1.02416
1887.84 7.84295 1.11727
1895.85 0.826748 0.791397
1898.62 -3.60304 1.21037
1915.69 -7.55928 0.791397
1916.78 -5.79649 0.791397
1917.76 -3.79634 0.791397
1918.78 -1.63954 0.83795
1919.7 -1.12928 0.791397
1920.71 1.67932 1.11727
1926.76 3.05622 0.884503
1927.74 5.70306 0.884503
1944.64 10.9915 1.16382
1947.64 8.20659 1.07071
1948.66 5.8048 0.791397
1956.68 -4.17781 1.25693
1958.7 -6.30588 0.791397
1987.69 4.43862 1.44314
2001.66 12.6198 0.884503
2008.66 8.50414 1.35003
2009.68 6.01235 0.977609
2014.63 -2.26322 1.02416
2018.63 -9.2923 0.884503
