Time data sigma
---- ---- -----
0 8.77341 0.617097
4.0172 2.73437 0.822796
8.9611 -3.0391 0.822796
23.9521 -5.43191 1.13134
35.965 -2.38845 0.822796
40.9613 1.51037 1.43989
257.193 -13.5977 1.23419
263.27 -11.4133 0.719946
291.109 9.72252 0.925645
318.101 -9.60741 0.719946
333.02 -4.95246 1.13134
339.009 -1.28251 0.617097
347.022 9.83777 1.23419
364.993 0.704079 0.617097
611.359 -8.48797 0.514247
646.153 8.58507 1.43989
670.133 -6.45228 0.925645
683.118 -7.29885 0.514247
693.077 -7.23389 0.925645
698.043 -2.93093 1.54274
928.34 -7.11046 1.13134
952.367 14.0061 0.617097
983.279 -5.02846 0.925645
1039.03 -7.20635 0.925645
1093.97 -4.02445 0.719946
1390.09 -1.06128 1.13134
1739.13 8.30709 1.64559
1785.06 4.5372 0.822796
