Time data sigma
---- ---- -----
0 -2.05735 0.617097
4.0172 -6.51728 0.822796
8.9611 -10.173 0.822796
23.9521 0.568946 1.13134
35.965 10.8457 0.822796
40.9613 9.21667 1.43989
257.193 -4.01093 1.23419
263.27 1.88446 0.719946
291.109 8.15672 0.925645
318.101 -3.56667 0.719946
333.02 7.50649 1.13134
339.009 5.19486 0.617097
347.022 8.77972 1.23419
364.993 -13.4422 0.617097
611.359 -8.57278 0.514247
646.153 12.1997 1.43989
670.133 -7.60031 0.925645
683.118 1.5837 0.514247
693.077 3.10981 0.925645
698.043 6.27869 1.54274
928.34 0.882029 1.13134
952.367 -0.95395 0.617097
983.279 -2.8668 0.925645
1039.03 -7.58617 0.925645
1093.97 -8.81488 0.719946
1390.09 -11.1555 1.13134
1739.13 -7.88098 1.64559
1785.06 7.58857 0.822796
