Time data sigma
---- ---- -----
0 -4.75658 1.07071
102.731 -2.9341 1.39658
363.991 -2.95166 0.931056
1446.97 -2.86318 0.83795
1447.95 1.00112 0.791397
1448.94 -0.00826951 0.791397
1449.91 -1.43824 0.83795
1455.96 7.69411 0.977609
1458.9 7.53282 1.39658
1471.83 3.32891 1.07071
1473.9 1.54688 0.83795
1475.86 -3.30209 1.16382
1477.85 1.47771 1.07071
1478.95 -1.48437 0.791397
1504.82 -1.99672 0.931056
1505.91 -3.10475 0.977609
1510.89 2.759 1.07071
1511.87 2.6019 0.791397
1512.79 3.92732 0.791397
1513.83 1.94893 0.83795
1527.87 3.39739 1.07071
1528.82 4.37377 0.83795
1535.71 0.0449287 0.931056
1539.76 -4.96493 0.977609
1559.76 -4.8241 0.83795
1561.76 -4.89429 0.931056
1817.96 6.46924 0.931056
1818.99 9.06121 1.07071
1820.98 8.47704 0.977609
1821.97 6.53124 0.83795
1825.93 6.60505 0.977609
1826.93 4.8838 0.931056
1828.94 3.05035 1.11727
1842.89 -5.10105 1.16382
1843.9 -4.23598 1.16382
1850.82 -4.7629 1.11727
1851.83 -5.51217 1.02416
1852.86 -5.27537 0.791397
1853.91 -3.95898 1.25693
1855.88 -3.66284 0.977609
1856.83 -6.00242 1.11727
1857.83 -4.82035 1.16382
1863.86 -2.22206 0.744845
1866.93 -2.25925 1.02416
1886.96 5.52607 1.02416
1887.84 3.78902 1.11727
1895.85 0.11462 0.791397
1898.62 -2.34437 1.21037
1915.69 -5.58746 0.791397
1916.78 -4.00404 0.791397
1917.76 -4.19388 0.791397
1918.78 -4.84115 0.83795
1919.7 -8.06652 0.791397
1920.71 -4.23183 1.11727
1926.76 1.04957 0.884503
1927.74 -3.80634 0.884503
1944.64 6.60093 1.16382
1947.64 4.54953 1.07071
1948.66 2.32241 0.791397
1956.68 -3.79862 1.25693
1958.7 -0.236941 0.791397
1987.69 -1.5295 1.44314
2001.66 8.60016 0.884503
2008.66 2.56079 1.35003
2009.68 2.72363 0.977609
2014.63 0.441736 1.02416
2018.63 -2.63552 0.884503
