Time data sigma
---- ---- -----
0 0.915312 1.07071
102.731 3.88796 1.39658
363.991 0.220288 0.931056
1446.97 -0.327963 0.83795
1447.95 -0.845748 0.791397
1448.94 -2.43009 0.791397
1449.91 -3.11757 0.83795
1455.96 -4.34649 0.977609
1458.9 -6.35675 1.39658
1471.83 -1.46429 1.07071
1473.9 0.0666599 0.83795
1475.86 -0.526904 1.16382
1477.85 -0.0159533 1.07071
1478.95 0.450684 0.791397
1504.82 0.236678 0.931056
1505.91 0.167687 0.977609
1510.89 -3.66056 1.07071
1511.87 -3.0171 0.791397
1512.79 -3.26525 0.791397
1513.83 -3.40198 0.83795
1527.87 -1.47793 1.07071
1528.82 -0.100368 0.83795
1535.71 -2.84603 0.931056
1539.76 -3.98414 0.977609
1559.76 2.81788 0.83795
1561.76 3.71252 0.931056
1817.96 -4.24955 0.931056
1818.99 -4.99409 1.07071
1820.98 -0.937047 0.977609
1821.97 -3.91455 0.83795
1825.93 -2.54356 0.977609
1826.93 -2.57057 0.931056
1828.94 -3.37529 1.11727
1842.89 -1.15649 1.16382
1843.9 -0.352007 1.16382
1850.82 2.25024 1.11727
1851.83 8.82711 1.02416
1852.86 3.17148 0.791397
1853.91 7.10576 1.25693
1855.88 4.04993 0.977609
1856.83 4.37997 1.11727
1857.83 6.36026 1.16382
1863.86 0.0982509 0.744845
1866.93 -0.544063 1.02416
1886.96 -4.05892 1.02416
1887.84 -0.434036 1.11727
1895.85 1.22894 0.791397
1898.62 -1.26314 1.21037
1915.69 6.06612 0.791397
1916.78 4.80811 0.791397
1917.76 3.62781 0.791397
1918.78 3.98652 0.83795
1919.7 3.68787 0.791397
1920.71 4.7271 1.11727
1926.76 -0.468089 0.884503
1927.74 -1.67134 0.884503
1944.64 -4.78546 1.16382
1947.64 -0.906385 1.07071
1948.66 -0.246782 0.791397
1956.68 2.77454 1.25693
1958.7 -0.325827 0.791397
1987.69 -1.25918 1.44314
2001.66 -1.79307 0.884503
2008.66 -2.90901 1.35003
2009.68 -2.04169 0.977609
2014.63 -2.87884 1.02416
2018.63 1.36443 0.884503
