Time data sigma
---- ---- -----
0 -8.82591 0.617097
4.0172 -4.81728 0.822796
8.9611 0.20066 0.822796
23.9521 8.45233 1.13134
35.965 -0.402486 0.822796
40.9613 -4.9099 1.43989
257.193 8.41495 1.23419
263.27 8.76399 0.719946
291.109 -6.09676 0.925645
318.101 8.37756 0.719946
333.02 2.78493 1.13134
339.009 -1.60946 0.617097
347.022 -7.01831 1.23419
364.993 -4.22048 0.617097
611.359 4.51675 0.514247
646.153 -4.45029 1.43989
670.133 2.99528 0.925645
683.118 6.8115 0.514247
693.077 1.13633 0.925645
698.043 -0.423457 1.54274
928.34 4.07204 1.13134
952.367 -7.15216 0.617097
983.279 7.23944 0.925645
1039.03 8.64696 0.925645
1093.97 5.46985 0.719946
1390.09 1.12975 1.13134
1739.13 -10.6853 1.64559
1785.06 -2.33764 0.822796
