Time data sigma
---- ---- -----
0 3.99044 0.617097
4.0172 0.789825 0.822796
8.9611 -0.403159 0.822796
23.9521 -7.69386 1.13134
35.965 -2.35028 0.822796
40.9613 4.15518 1.43989
257.193 -8.35808 1.23419
263.27 -9.88495 0.719946
291.109 11.4611 0.925645
318.101 -7.51161 0.719946
333.02 -6.79507 1.13134
339.009 0.479279 0.617097
347.022 12.037 1.23419
364.993 2.31942 0.617097
611.359 -4.65815 0.514247
646.153 11.6929 1.43989
670.133 -4.13262 0.925645
683.118 -8.59143 0.514247
693.077 -6.6429 0.925645
698.043 -3.18194 1.54274
928.34 -10.8081 1.13134
952.367 11.8559 0.617097
983.279 -6.50144 0.925645
1039.03 -7.36595 0.925645
1093.97 -4.64336 0.719946
1390.09 -4.32422 1.13134
1739.13 5.92431 1.64559
1785.06 10.5972 0.822796
