Time data sigma
---- ---- -----
0 -1.38401 0.617097
4.0172 0.639658 0.822796
8.9611 1.1821 0.822796
23.9521 11.1878 1.13134
35.965 -5.06862 0.822796
40.9613 -8.85493 1.43989
257.193 12.0289 1.23419
263.27 10.1216 0.719946
291.109 -11.4476 0.925645
318.101 11.3186 0.719946
333.02 1.17342 1.13134
339.009 -1.77738 0.617097
347.022 -9.96522 1.23419
364.993 6.11141 0.617097
611.359 3.47305 0.514247
646.153 -7.11978 1.43989
670.133 2.7317 0.925645
683.118 14.8993 0.514247
693.077 0.831293 0.925645
698.043 -5.6228 1.54274
928.34 3.01821 1.13134
952.367 -12.5473 0.617097
983.279 4.63397 0.925645
1039.03 9.1469 0.925645
1093.97 4.73001 0.719946
1390.09 8.11568 1.13134
1739.13 0.290679 1.64559
1785.06 -12.0012 0.822796
