Time data sigma
---- ---- -----
0 6.20178 0.617097
4.0172 6.20323 0.822796
8.9611 8.06851 0.822796
23.9521 1.17697 1.13134
35.965 -5.23112 0.822796
40.9613 -5.18554 1.43989
257.193 6.26956 1.23419
263.27 1.66248 0.719946
291.109 -4.40277 0.925645
318.101 5.68074 0.719946
333.02 -0.842525 1.13134
339.009 -7.155 0.617097
347.022 -6.2996 1.23419
364.993 5.73548 0.617097
611.359 6.65459 0.514247
646.153 -8.08794 1.43989
670.133 6.31379 0.925645
683.118 2.07144 0.514247
693.077 -2.49045 0.925645
698.043 -7.32061 1.54274
928.34 -0.397491 1.13134
952.367 -5.2061 0.617097
983.279 2.65622 0.925645
1039.03 3.84313 0.925645
1093.97 6.07251 0.719946
1390.09 5.74601 1.13134
1739.13 1.36148 1.64559
1785.06 -9.78104 0.822796
