Time data sigma
---- ---- -----
0 13.7098 0.617097
4.0172 11.9628 0.822796
8.9611 9.13123 0.822796
23.9521 -6.1387 1.13134
35.965 -21.4161 0.822796
40.9613 -13.9154 1.43989
257.193 4.06691 1.23419
263.27 -1.5245 0.719946
291.109 12.1557 0.925645
318.101 5.63119 0.719946
333.02 -21.8018 1.13134
339.009 -18.9221 0.617097
347.022 4.58831 1.23419
364.993 10.6417 0.617097
611.359 7.45525 0.514247
646.153 -0.618014 1.43989
670.133 5.52619 0.925645
683.118 -3.31201 0.514247
693.077 -20.9217 0.925645
698.043 -17.1777 1.54274
928.34 -13.5511 1.13134
952.367 11.5973 0.617097
983.279 -4.48639 0.925645
1039.03 5.13467 0.925645
1093.97 6.52733 0.719946
1390.09 8.23175 1.13134
1739.13 14.3254 1.64559
1785.06 -4.06017 0.822796
