Time data sigma
---- ---- -----
0 -1.77019 0.617097
4.0172 -1.05811 0.822796
8.9611 0.306497 0.822796
23.9521 2.61564 1.13134
35.965 2.53431 0.822796
40.9613 -0.309514 1.43989
257.193 2.22944 1.23419
263.27 5.20314 0.719946
291.109 -4.29753 0.925645
318.101 2.21771 0.719946
333.02 1.37249 1.13134
339.009 1.23542 0.617097
347.022 -4.23089 1.23419
364.993 -2.0847 0.617097
611.359 1.06852 0.514247
646.153 -5.7804 1.43989
670.133 0.367899 0.925645
683.118 2.21359 0.514247
693.077 3.48186 0.925645
698.043 0.209639 1.54274
928.34 4.28793 1.13134
952.367 -3.06305 0.617097
983.279 3.54773 0.925645
1039.03 2.86776 0.925645
1093.97 0.363094 0.719946
1390.09 -2.88679 1.13134
1739.13 -3.6317 1.64559
1785.06 -0.26888 0.822796
